행정구역(시군구)별,성별,연령별,인구 (명)
 종로구,남자,25 - 29세,6526
 종로구,남자,30 - 34세,5004.5
 종로구,남자,35 - 39세,4820
 종로구,남자,40 - 44세,4635.5
 종로구,남자,45 - 49세,5993
 종로구,남자,50 - 54세,6072
 종로구,남자,55 - 59세,6179.5
 종로구,남자,60 - 64세,5409
 종로구,남자,65 - 69세,3743.5
 종로구,남자,70 - 74세,2842
 종로구,남자,75 - 79세,2368.5
 종로구,남자,80세 이상,2405.5
 종로구,남자,80 - 84세,1517
 종로구,남자,85세 이상,888.5
 종로구,남자,85 - 89세,642
 종로구,남자,90 - 94세,188.5
 종로구,남자,95 - 99세,52
 종로구,남자,100세 이상,6
 종로구,여자,계,74253
 종로구,여자,0 - 4세,1641
 종로구,여자,5 - 9세,2252
 종로구,여자,10 - 14세,2545
 종로구,여자,15 - 19세,3083
 종로구,여자,20 - 24세,5626.5
 종로구,여자,25 - 29세,6141.5
 종로구,여자,30 - 34세,4990.5
 종로구,여자,35 - 39세,4975.5
 종로구,여자,40 - 44세,5014
 종로구,여자,45 - 49세,6228
 종로구,여자,50 - 54세,6214.5
 종로구,여자,55 - 59세,5980.5
 종로구,여자,60 - 64세,5325.5
 종로구,여자,65 - 69세,3893
 종로구,여자,70 - 74세,3402.5
 종로구,여자,75 - 79세,3081
 종로구,여자,80세 이상,3859
 종로구,여자,80 - 84세,2165
 종로구,여자,85세 이상,1694
 종로구,여자,85 - 89세,1106.5
 종로구,여자,90 - 94세,450.5
 종로구,여자,95 - 99세,117
 종로구,여자,100세 이상,20
 중구,계,계,121519.5
 중구,계,0 - 4세,3482.5
 중구,계,5 - 9세,3611
 중구,계,10 - 14세,3092.5
 중구,계,15 - 19세,3869
 중구,계,20 - 24세,7605
 중구,계,25 - 29세,10768
 중구,계,30 - 34세,10031
 중구,계,35 - 39세,10051
 중구,계,40 - 44세,8464.5
 중구,계,45 - 49세,9184
 중구,계,50 - 54세,9864
 중구,계,55 - 59세,10108
 중구,계,60 - 64세,9512
 중구,계,65 - 69세,6871.5
 중구,계,70 - 74세,5474.5
 중구,계,75 - 79세,4501
 중구,계,80세 이상,5030
 중구,계,80 - 84세,2904
 중구,계,85세 이상,2126
 중구,계,85 - 89세,1428.5
 중구,계,90 - 94세,557.5
 중구,계,95 - 99세,124
 중구,계,100세 이상,16
 중구,남자,계,59535.5
 중구,남자,0 - 4세,1771.5
 중구,남자,5 - 9세,1851.5
 중구,남자,10 - 14세,1550
 중구,남자,15 - 19세,1975.5
 중구,남자,20 - 24세,3543
 중구,남자,25 - 29세,5289
 중구,남자,30 - 34세,4981
 중구,남자,35 - 39세,5050.5
 중구,남자,40 - 44세,4375.5
 중구,남자,45 - 49세,4635.5
 중구,남자,50 - 54세,5004.5
 중구,남자,55 - 59세,5127
 중구,남자,60 - 64세,4782
 중구,남자,65 - 69세,3379.5
 중구,남자,70 - 74세,2523
 중구,남자,75 - 79세,1942.5
 중구,남자,80세 이상,1754
 중구,남자,80 - 84세,1125
 중구,남자,85세 이상,629
 중구,남자,85 - 89세,438.5
 중구,남자,90 - 94세,153
 중구,남자,95 - 99세,32
 중구,남자,100세 이상,5.5
 중구,여자,계,61984
 중구,여자,0 - 4세,1711
 중구,여자,5 - 9세,1759.5
 중구,여자,10 - 14세,1542.5
 중구,여자,15 - 19세,1893.5
 중구,여자,20 - 24세,4062
 중구,여자,25 - 29세,5479
 중구,여자,30 - 34세,5050
 중구,여자,35 - 39세,5000.5
 중구,여자,40 - 44세,4089
 중구,여자,45 - 49세,4548.5
 중구,여자,50 - 54세,4859.5
 중구,여자,55 - 59세,4981
 중구,여자,60 - 64세,4730
 중구,여자,65 - 69세,3492
 중구,여자,70 - 74세,2951.5
 중구,여자,75 - 79세,2558.5
 중구,여자,80세 이상,3276
 중구,여자,80 - 84세,1779
 중구,여자,85세 이상,1497
 중구,여자,85 - 89세,990
 중구,여자,90 - 94세,404.5
 중구,여자,95 - 99세,92
 중구,여자,100세 이상,10.5
 용산구,계,계,219403.5
 용산구,계,0 - 4세,6548
 용산구,계,5 - 9세,7215.5
 용산구,계,10 - 14세,7168
 용산구,계,15 - 19세,8648
 용산구,계,20 - 24세,13540
 용산구,계,25 - 29세,19187
 용산구,계,30 - 34세,18518.5
 용산구,계,35 - 39세,18787.5
 용산구,계,40 - 44세,16188
 용산구,계,45 - 49세,18255
 용산구,계,50 - 54세,17807.5
 용산구,계,55 - 59세,16916
 용산구,계,60 - 64세,15451.5
 용산구,계,65 - 69세,10694
 용산구,계,70 - 74세,8500
 용산구,계,75 - 79세,7238
 용산구,계,80세 이상,8741
 용산구,계,80 - 84세,5101.5
 용산구,계,85세 이상,3639.5
 용산구,계,85 - 89세,2464
 용산구,계,90 - 94세,904
 용산구,계,95 - 99세,238
 용산구,계,100세 이상,33.5
 용산구,남자,계,106237
 용산구,남자,0 - 4세,3392.5
 용산구,남자,5 - 9세,3724.5
 용산구,남자,10 - 14세,3611
 용산구,남자,15 - 19세,4453
 용산구,남자,20 - 24세,6360.5
 용산구,남자,25 - 29세,9327.5
 용산구,남자,30 - 34세,9239
 용산구,남자,35 - 39세,9404.5
 용산구,남자,40 - 44세,7951
 용산구,남자,45 - 49세,8970.5
 용산구,남자,50 - 54세,8800
 용산구,남자,55 - 59세,8404
 용산구,남자,60 - 64세,7544.5
 용산구,남자,65 - 69세,5085
 용산구,남자,70 - 74세,3809
 용산구,남자,75 - 79세,3056
 용산구,남자,80세 이상,3104.5
 용산구,남자,80 - 84세,1949.5
 용산구,남자,85세 이상,1155
 용산구,남자,85 - 89세,846
 용산구,남자,90 - 94세,229
 용산구,남자,95 - 99세,74
 용산구,남자,100세 이상,6
 용산구,여자,계,113166.5
 용산구,여자,0 - 4세,3155.5
 용산구,여자,5 - 9세,3491
 용산구,여자,10 - 14세,3557
 용산구,여자,15 - 19세,4195
 용산구,여자,20 - 24세,7179.5
 용산구,여자,25 - 29세,9859.5
 용산구,여자,30 - 34세,9279.5
 용산구,여자,35 - 39세,9383
 용산구,여자,40 - 44세,8237
 용산구,여자,45 - 49세,9284.5
 용산구,여자,50 - 54세,9007.5
 용산구,여자,55 - 59세,8512
 용산구,여자,60 - 64세,7907
 용산구,여자,65 - 69세,5609
 용산구,여자,70 - 74세,4691
 용산구,여자,75 - 79세,4182
 용산구,여자,80세 이상,5636.5
 용산구,여자,80 - 84세,3152
 용산구,여자,85세 이상,2484.5
 용산구,여자,85 - 89세,1618
 용산구,여자,90 - 94세,675
 용산구,여자,95 - 99세,164
 용산구,여자,100세 이상,27.5
 성동구,계,계,291841
 성동구,계,0 - 4세,10620
 성동구,계,5 - 9세,10584.5
 성동구,계,10 - 14세,9309.5
 성동구,계,15 - 19세,11202.5
 성동구,계,20 - 24세,19866
 성동구,계,25 - 29세,25368
 성동구,계,30 - 34세,23850.5
 성동구,계,35 - 39세,25563
 성동구,계,40 - 44세,21810
 성동구,계,45 - 49세,23377.5
 성동구,계,50 - 54세,23434
